Saison; Termin; Tipptermin; Spielpaarung/Frage; Gruppe; Ergebnis; Punkteregel; Tippabgaberegel
WM; 12.06.14 16:00; 12.06.14 16:00; Brasilien; Kroatien; Gruppe A; 3:1; Matches; 0 min. before event
WM; 13.06.14 12:00; 13.06.14 12:00; Mexiko; Kamerun; Gruppe A; 1:0; Matches; 0 min. before event
WM; 13.06.14 15:00; 13.06.14 15:00; Spanien; Niederlande; Gruppe B; 1:5; Matches; 0 min. before event
WM; 13.06.14 18:00; 13.06.14 18:00; Chile; Australien; Gruppe B; 3:1; Matches; 0 min. before event
WM; 14.06.14 12:00; 14.06.14 12:00; Kolumbien; Griechenland; Gruppe C; 3:0; Matches; 0 min. before event
WM; 14.06.14 15:00; 14.06.14 15:00; Uruguay; Costa Rica; Gruppe D; 1:3; Matches; 0 min. before event
WM; 14.06.14 18:00; 14.06.14 18:00; England; Italien; Gruppe D; 1:2; Matches; 0 min. before event
WM; 14.06.14 21:00; 14.06.14 21:00; Elfenbeinküste; Japan; Gruppe C; 2:1; Matches; 0 min. before event
WM; 15.06.14 12:00; 15.06.14 12:00; Schweiz; Ecuador; Gruppe E; 2:1; Matches; 0 min. before event
WM; 15.06.14 15:00; 15.06.14 15:00; Frankreich; Honduras; Gruppe E; 3:0; Matches; 0 min. before event
WM; 15.06.14 18:00; 15.06.14 18:00; Argentinien; Bosnien-Herzegowina; Gruppe F; 2:1; Matches; 0 min. before event
WM; 16.06.14 12:00; 16.06.14 12:00; Deutschland; Portugal; Gruppe G; 4:0; Matches; 0 min. before event
WM; 16.06.14 15:00; 16.06.14 15:00; Iran; Nigeria; Gruppe F; 0:0; Matches; 0 min. before event
WM; 16.06.14 18:00; 16.06.14 18:00; Ghana; USA; Gruppe G; 1:2; Matches; 0 min. before event
WM; 17.06.14 12:00; 17.06.14 12:00; Belgien; Algerien; Gruppe H; 2:1; Matches; 0 min. before event
WM; 17.06.14 15:00; 17.06.14 15:00; Brasilien; Mexiko; Gruppe A; 0:0; Matches; 0 min. before event
WM; 17.06.14 18:00; 17.06.14 18:00; Russland; Südkorea; Gruppe H; 1:1; Matches; 0 min. before event
WM; 18.06.14 12:00; 18.06.14 12:00; Australien; Niederlande; Gruppe B; 2:3; Matches; 0 min. before event
WM; 18.06.14 15:00; 18.06.14 15:00; Spanien; Chile; Gruppe B; 0:2; Matches; 0 min. before event
WM; 18.06.14 18:00; 18.06.14 18:00; Kamerun; Kroatien; Gruppe A; 0:4; Matches; 0 min. before event
WM; 19.06.14 12:00; 19.06.14 12:00; Kolumbien; Elfenbeinküste; Gruppe C; 2:1; Matches; 0 min. before event
WM; 19.06.14 15:00; 19.06.14 15:00; Uruguay; England; Gruppe D; 2:1; Matches; 0 min. before event
WM; 19.06.14 18:00; 19.06.14 18:00; Japan; Griechenland; Gruppe C; 0:0; Matches; 0 min. before event
WM; 20.06.14 12:00; 20.06.14 12:00; Italien; Costa Rica; Gruppe D; 0:1; Matches; 0 min. before event
WM; 20.06.14 15:00; 20.06.14 15:00; Schweiz; Frankreich; Gruppe E; 2:5; Matches; 0 min. before event
WM; 20.06.14 18:00; 20.06.14 18:00; Honduras; Ecuador; Gruppe E; 1:2; Matches; 0 min. before event
WM; 21.06.14 12:00; 21.06.14 12:00; Argentinien; Iran; Gruppe F; 1:0; Matches; 0 min. before event
WM; 21.06.14 15:00; 21.06.14 15:00; Deutschland; Ghana; Gruppe G; 2:2; Matches; 0 min. before event
WM; 21.06.14 18:00; 21.06.14 18:00; Nigeria; Bosnien-Herzegowina; Gruppe F; 1:0; Matches; 0 min. before event
WM; 22.06.14 12:00; 22.06.14 12:00; Belgien; Russland; Gruppe H; 1:0; Matches; 0 min. before event
WM; 22.06.14 15:00; 22.06.14 15:00; Südkorea; Algerien; Gruppe H; 2:4; Matches; 0 min. before event
